CRICOS Provider Code,Institution Name,CRICOS Course Code,Course Name,VET National Code,Dual Qualification,Field of Education 1 Broad Field,Field of Education 1 Narrow Field,Field of Education 1 Detailed Field,Field of Education 2 Broad Field,Field of Education 2 Narrow Field,Field of Education 2 Detailed Field,Course Level,Foundation Studies,Work Component,Work Component Hours/Week,Work Component Weeks,Work Component Total Hours,Course Language,Duration (Weeks),Tuition Fee,Non Tuition Fee,Estimated Total Course Cost,Expired
00026A,The University of Sydney,097886K,Graduate Diploma in Design,,No,10 - Creative Arts,1005 - Graphic and Design Studies,100501 - Graphic Arts and Design Studies,,,,Graduate Diploma,No,No,,,,English,52,"$51,300.00",$373.00,"$51,673.00",No
00026A,The University of Sydney,097889G,Master of Design,,No,10 - Creative Arts,1005 - Graphic and Design Studies,100501 - Graphic Arts and Design Studies,,,,Masters Degree (Coursework),No,No,,,,English,104,"$104,100.00",$751.60,"$104,851.60",No
00026A,The University of Sydney,098246A,Master of Design,,No,10 - Creative Arts,1005 - Graphic and Design Studies,100501 - Graphic Arts and Design Studies,,,,Masters Degree (Coursework),No,No,,,,English,78,"$77,700.00",$559.50,"$78,259.50",No
00026A,The University of Sydney,098247M,Master of Professional Engineering (Accelerated),,No,03 - Engineering and Related Technologies,0399 - Other Engineering and Related Technologies,"039999 - Engineering and Related Technologies, n.e.c.",,,,Masters Degree (Coursework),No,Yes,35.00,12,420,English,104,"$117,500.00",$751.60,"$118,251.60",No
00026A,The University of Sydney,098597M,Graduate Diploma in Communication Disorders,,No,06 - Health,0617 - Rehabilitation Therapies,"061799 - Rehabilitation Therapies, n.e.c.",,,,Graduate Diploma,No,No,,,,English,52,"$54,000.00",$329.00,"$54,329.00",No
00026A,The University of Sydney,099884G,Bachelor of Advanced Studies,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Bachelor Degree,No,No,,,,English,52,"$56,300.00",$373.00,"$56,673.00",No
00026A,The University of Sydney,099888C,Graduate Certificate in Transport,,No,03 - Engineering and Related Technologies,0309 - Civil Engineering,030909 - Transport Engineering,,,,Graduate Certificate,No,No,,,,English,26,"$30,850.00",$186.50,"$31,036.50",No
00026A,The University of Sydney,099889B,Graduate Diploma in Transport,,No,03 - Engineering and Related Technologies,0309 - Civil Engineering,030909 - Transport Engineering,,,,Graduate Diploma,No,No,,,,English,52,"$61,700.00",$373.00,"$62,073.00",No
00026A,The University of Sydney,099890J,Master of Transport,,No,03 - Engineering and Related Technologies,0309 - Civil Engineering,030909 - Transport Engineering,,,,Masters Degree (Coursework),No,No,,,,English,78,"$93,500.00",$559.50,"$94,059.50",No
00026A,The University of Sydney,102403K,Master of Dental Public Health,,No,06 - Health,0607 - Dental Studies,060701 - Dentistry,,,,Masters Degree (Coursework),No,No,,,,English,52,"$61,700.00",$373.00,"$62,073.00",No
00026A,The University of Sydney,102404J,Master of Biomedical Science (Infection and Immunity),,No,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,019901 - Medical Science,,,,Masters Degree (Coursework),No,No,,,,English,52,"$61,700.00",$373.00,"$62,073.00",No
00026A,The University of Sydney,102405H,Graduate Diploma in Biomedical Sciences (Infection and Immunity),,No,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,019901 - Medical Science,,,,Graduate Diploma,No,No,,,,English,52,"$61,700.00",$373.00,"$62,073.00",No
00026A,The University of Sydney,102406G,Graduate Certificate in Biomedical Science (Infection and Immunity),,No,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,019901 - Medical Science,,,,Graduate Certificate,No,No,,,,English,26,"$30,850.00",$186.50,"$31,036.50",No
00026A,The University of Sydney,102408E,Master of Complex Systems,,No,03 - Engineering and Related Technologies,0309 - Civil Engineering,"030999 - Civil Engineering, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,78,"$87,700.00",$559.50,"$88,259.50",No
00026A,The University of Sydney,103482J,Bachelor of Education (Early Childhood),,No,07 - Education,0701 - Teacher Education,070101 - Teacher Education: Early Childhood,,,,Bachelor Degree,No,Yes,35.00,18,630,English,208,"$253,500.00","$1,525.91","$255,025.91",No
00026A,The University of Sydney,103483H,Bachelor of Education (Health and Physical Education),,No,07 - Education,0701 - Teacher Education,070103 - Teacher Education: Primary,,,,Bachelor Degree,No,Yes,35.00,16,560,English,208,"$253,500.00","$1,632.91","$255,132.91",No
00026A,The University of Sydney,103484G,Bachelor of Education (Primary),,No,07 - Education,0701 - Teacher Education,070103 - Teacher Education: Primary,,,,Bachelor Degree,No,Yes,35.00,16,560,English,208,"$253,500.00","$1,525.91","$255,025.91",No
00026A,The University of Sydney,103485F,Bachelor of Education (Secondary),,No,07 - Education,0701 - Teacher Education,070105 - Teacher Education: Secondary,,,,Bachelor Degree,No,Yes,35.00,16,560,English,208,"$253,500.00","$1,525.91","$255,025.91",No
00026A,The University of Sydney,103486E,Bachelor of Education Studies,,No,07 - Education,0703 - Curriculum and Education Studies,070303 - Education Studies,,,,Bachelor Degree,No,Yes,5.00,4,20,English,156,"$187,300.00","$1,135.87","$188,435.87",No
00026A,The University of Sydney,103487D,Bachelor of Education and Bachelor of Advanced Studies (Secondary),,No,07 - Education,0701 - Teacher Education,070105 - Teacher Education: Secondary,,,,Bachelor Degree,No,Yes,35.00,16,560,English,260,"$321,700.00","$1,921.80","$323,621.80",No
00026A,The University of Sydney,105220D,Bachelor of Pharmacy and Management (Honours),,No,06 - Health,0605 - Pharmacy,060501 - Pharmacy,,,,Bachelor Honours Degree,No,Yes,35.00,6,210,English,260,"$282,900.00","$1,761.00","$284,661.00",No
00026A,The University of Sydney,105221C,Bachelor of Pharmacy (Honours),,No,06 - Health,0605 - Pharmacy,060501 - Pharmacy,,,,Bachelor Honours Degree,No,Yes,35.00,6,210,English,208,"$223,100.00","$1,385.00","$224,485.00",No
00026A,The University of Sydney,105222B,Bachelor of Pharmacy and Management (Honours) and Master of Pharmacy Practice,,No,06 - Health,0605 - Pharmacy,060501 - Pharmacy,,,,Masters Degree (Coursework),No,Yes,,31,"1,071",English,312,"$392,500.00","$2,654.00","$395,154.00",No
00026A,The University of Sydney,105223A,Bachelor of Pharmacy (Honours) and Master of Pharmacy Practice,,No,06 - Health,0605 - Pharmacy,060501 - Pharmacy,,,,Masters Degree (Coursework),No,Yes,,33,"1,141",English,260,"$321,700.00","$2,252.00","$323,952.00",No
00026A,The University of Sydney,105370A,Doctor of Clinical Dentistry (Oral Surgery),,No,06 - Health,0607 - Dental Studies,"060799 - Dental Studies, n.e.c.",,,,Masters Degree (Extended),No,Yes,38.00,48,"1,824",English,156,"$258,100.00","$1,135.87","$259,235.87",No
00026A,The University of Sydney,105726M,Master of Education (Research),,No,07 - Education,0703 - Curriculum and Education Studies,070303 - Education Studies,,,,Masters Degree (Research),No,No,,,,English,104,"$105,400.00",$751.60,"$106,151.60",No
00026A,The University of Sydney,106003E,Master of Digital Health and Data Science,,No,02 - Information Technology,0203 - Information Systems,"020399 - Information Systems, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,52,"$57,900.00",$373.00,"$58,273.00",No
00026A,The University of Sydney,106004D,Graduate Certificate in Digital Health and Data Science,,No,02 - Information Technology,0203 - Information Systems,"020399 - Information Systems, n.e.c.",,,,Graduate Certificate,No,No,,,,English,26,"$28,950.00",$186.50,"$29,136.50",No
00026A,The University of Sydney,106360F,Graduate Certificate of Social Justice,,No,09 - Society and Culture,0903 - Studies in Human Society,090301 - Sociology,,,,Graduate Certificate,No,No,,,,English,26,"$25,650.00",$186.50,"$25,836.50",No
00026A,The University of Sydney,106361E,Graduate Diploma of Social Justice,,No,09 - Society and Culture,0903 - Studies in Human Society,090301 - Sociology,,,,Graduate Diploma,No,No,,,,English,52,"$51,300.00",$373.00,"$51,673.00",No
00026A,The University of Sydney,106362D,Master of Social Justice,,No,09 - Society and Culture,0903 - Studies in Human Society,090301 - Sociology,,,,Masters Degree (Coursework),No,No,,,,English,78,"$77,700.00",$559.50,"$78,259.50",No
00026A,The University of Sydney,107172B,Graduate Certificate in Professional Accounting,,No,08 - Management and Commerce,0801 - Accounting,080101 - Accounting,,,,Graduate Certificate,No,No,,,,English,26,"$27,000.00",$164.50,"$27,164.50",No
00026A,The University of Sydney,107173A,Graduate Certificate in International Business,,No,08 - Management and Commerce,0803 - Business and Management,080311 - International Business,,,,Graduate Certificate,No,No,,,,English,26,"$30,850.00",$186.50,"$31,036.50",No
00026A,The University of Sydney,107174M,Graduate Certificate in Business Administration,,No,08 - Management and Commerce,0803 - Business and Management,080301 - Business Management,,,,Graduate Certificate,No,No,,,,English,26,"$27,000.00",$164.50,"$27,164.50",No
00026A,The University of Sydney,107396H,Joint Doctor of Philosophy (Arts and Social Sciences),,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Doctoral Degree,No,No,,,,English,208,$0.00,$0.00,$0.00,No
00026A,The University of Sydney,107397G,Joint Doctor of Philosophy (Business),,No,08 - Management and Commerce,0803 - Business and Management,"080399 - Business and Management, n.e.c.",,,,Doctoral Degree,No,No,,,,English,208,$0.00,$0.00,$0.00,No
00026A,The University of Sydney,107398F,Joint Doctor of Philosophy (Science),,No,01 - Natural and Physical Sciences,0103 - Physics and Astronomy,010301 - Physics,,,,Doctoral Degree,No,No,,,,English,208,$0.00,$0.00,$0.00,No
00026A,The University of Sydney,107399E,Joint Doctor of Philosophy (Engineering),,No,03 - Engineering and Related Technologies,0303 - Process and Resources Engineering,030301 - Chemical Engineering,,,,Doctoral Degree,No,No,,,,English,208,$0.00,$0.00,$0.00,No
00026A,The University of Sydney,107400F,Joint Doctor of Philosophy (Law),,No,09 - Society and Culture,0909 - Law,"090999 - Law, n.e.c.",,,,Doctoral Degree,No,No,,,,English,208,$0.00,$0.00,$0.00,No
00026A,The University of Sydney,107401E,"Joint Doctor of Philosophy (Architecture, Design and Planning)",,No,04 - Architecture and Building,0401 - Architecture and Urban Environment,040101 - Architecture,,,,Doctoral Degree,No,No,,,,English,208,$0.00,$0.00,$0.00,No
00026A,The University of Sydney,107402D,Joint Doctor of Philosophy (Medicine and Health),,No,06 - Health,0601 - Medical Studies,"060199 - Medical Studies, n.e.c.",,,,Doctoral Degree,No,No,,,,English,208,$0.00,$0.00,$0.00,No
00026A,The University of Sydney,107403C,Joint Doctor of Philosophy (Music),,No,10 - Creative Arts,1001 - Performing Arts ,100101 - Music,,,,Doctoral Degree,No,No,,,,English,208,$0.00,$0.00,$0.00,No
00026A,The University of Sydney,107850B,Master of Medicine (Sexual and Reproductive Health),,No,06 - Health,0601 - Medical Studies,"060199 - Medical Studies, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,52,"$61,700.00",$373.00,"$62,073.00",No
00026A,The University of Sydney,107851A,Graduate Diploma in Medicine (Sexual and Reproductive Health),,No,06 - Health,0601 - Medical Studies,"060199 - Medical Studies, n.e.c.",,,,Graduate Diploma,No,No,,,,English,52,"$61,700.00",$373.00,"$62,073.00",No
00026A,The University of Sydney,107852M,Graduate Certificate in Medicine (Sexual and Reproductive Health),,No,06 - Health,0601 - Medical Studies,"060199 - Medical Studies, n.e.c.",,,,Graduate Certificate,No,No,,,,English,26,"$30,850.00",$186.50,"$31,036.50",No
